Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt
1,1,0.9797297297297313,1.0,1.0000000000000004,0.22972972972973116,0.22972972972973005,0.22972972972973005,0.22972972972973016,,,
1,2,0.9722222222222228,1.0000000000000002,0.9999999999999998,0.2777777777777779,0.2777777777777777,0.27777777777777773,0.2777777777777776,,,
1,3,0.9391891891891895,0.9807692307692308,1.0200000000000002,0.33783783783783783,0.3529411764705881,0.34615384615384603,0.35999999999999993,,,
2,1,0.9761904761904765,0.9761904761904764,1.0250000000000004,0.3333333333333329,0.34146341463414664,0.3333333333333337,0.3500000000000004,,,
2,2,0.9411764705882353,0.9861111111111112,1.0142857142857147,0.35294117647058865,0.3661971830985924,0.36111111111111194,0.37142857142857244,,,
2,3,0.971153846153846,0.9999999999999996,1.0,0.25,0.250000000000001,0.2500000000000009,0.250000000000001,,,
3,1,0.9523809523809524,0.9791666666666667,1.0217391304347823,0.2857142857142858,0.2978723404255318,0.2916666666666666,0.30434782608695626,,,
3,2,0.9571428571428569,1.0,1.0,0.37142857142857166,0.375,0.375,0.375,,,
3,3,0.9318181818181819,1.0,1.0000000000000009,0.31818181818181834,0.33333333333333304,0.33333333333333304,0.3333333333333333,,,
4,1,1.0,1.0,1.0000000000000002,0.24836601307189543,0.24836601307189488,0.24836601307189488,0.24836601307189493,,,
4,2,0.9407894736842111,0.9615384615384613,1.0416666666666672,0.38157894736842035,0.40000000000000013,0.3846153846153847,0.416666666666667,,,
4,3,0.9821428571428565,1.0000000000000002,1.0,0.3928571428571427,0.40000000000000024,0.40000000000000036,0.40000000000000024,,,
5,1,1.0000000000000002,1.0000000000000007,0.9999999999999996,0.2272727272727273,0.22727272727272718,0.22727272727272732,0.22727272727272707,,,
5,2,1.0,1.0000000000000007,1.0000000000000002,0.2272727272727273,0.2272727272727274,0.22727272727272754,0.22727272727272746,,,
5,3,0.9999999999999998,1.0000000000000002,1.0000000000000002,0.17073170731707332,0.17073170731707332,0.17073170731707335,0.17073170731707335,,,
6,1,0.9305555555555554,0.9861111111111112,1.0142857142857145,0.3611111111111115,0.3661971830985912,0.36111111111111077,0.3714285714285711,,,
6,2,0.9907407407407405,0.9907407407407408,1.009433962264151,0.3148148148148153,0.31775700934579465,0.3148148148148151,0.3207547169811324,,,
6,3,0.94078947368421,0.9615384615384613,1.041666666666667,0.38157894736842135,0.4000000000000008,0.3846153846153853,0.41666666666666763,,,
7,1,1.0,1.0,1.0000000000000002,0.1523809523809525,0.1523809523809524,0.1523809523809524,0.15238095238095242,,,
7,2,0.9999999999999998,1.0,1.0000000000000009,0.1395348837209307,0.13953488372093048,0.13953488372093048,0.1395348837209306,,,
7,3,0.960227272727273,1.0000000000000002,0.9999999999999998,0.3068181818181812,0.3140495867768597,0.31404958677685973,0.3140495867768596,,,
8,1,0.9999999999999996,1.0,1.0,0.14285714285714324,0.14285714285714268,0.14285714285714268,0.14285714285714268,,,
8,2,0.9444444444444442,1.0000000000000007,0.9999999999999998,0.33333333333333315,0.33333333333333337,0.3333333333333336,0.3333333333333333,,,
8,3,0.9166666666666663,0.9615384615384615,1.0416666666666672,0.375,0.3999999999999998,0.3846153846153844,0.4166666666666667,,,
9,1,0.9411764705882348,0.9861111111111112,1.0142857142857147,0.3529411764705891,0.3661971830985915,0.3611111111111111,0.37142857142857155,,,
9,2,0.9999999999999997,1.0,1.0000000000000002,0.1999999999999995,0.20000000000000018,0.20000000000000018,0.20000000000000023,,,
9,3,0.9687499999999998,0.96875,1.0333333333333334,0.31250000000000033,0.32258064516129037,0.31250000000000006,0.3333333333333334,,,
10,1,0.9523809523809519,0.9523809523809526,1.0526315789473688,0.38095238095238093,0.3999999999999998,0.3809523809523808,0.4210526315789473,,,
10,2,0.9999999999999996,1.0000000000000004,1.0,0.23529411764705854,0.235294117647059,0.2352941176470591,0.235294117647059,,,
10,3,0.9903846153846158,0.9903846153846154,1.0098039215686272,0.21153846153846112,0.21359223300970864,0.21153846153846145,0.21568627450980377,,,
11,1,0.8838383838383836,1.0000000000000002,1.0000000000000004,0.41414141414141414,0.44736842105263175,0.44736842105263186,0.44736842105263197,,,
11,2,0.9734042553191482,1.0,1.0,0.24468085106383008,0.24468085106383053,0.24468085106383053,0.24468085106383053,,,
11,3,0.9318181818181819,1.0,1.0000000000000009,0.31818181818181834,0.33333333333333304,0.33333333333333304,0.3333333333333333,,,
12,1,0.9791666666666673,0.9791666666666667,1.021739130434783,0.2916666666666663,0.2978723404255317,0.29166666666666646,0.3043478260869564,,,
12,2,1.0,1.0,1.0,0.17142857142857204,0.1714285714285716,0.1714285714285716,0.1714285714285716,,,
12,3,0.9405940594059409,0.9684210526315788,1.0337078651685396,0.37623762376237635,0.3913043478260866,0.37894736842105226,0.4044943820224716,,,
13,1,0.9411764705882351,0.9861111111111112,1.0142857142857145,0.352941176470589,0.3661971830985915,0.3611111111111111,0.37142857142857144,,,
13,2,0.9310344827586208,0.9807692307692313,1.0199999999999998,0.3448275862068966,0.3529411764705881,0.3461538461538462,0.35999999999999976,,,
13,3,1.0,1.0000000000000002,1.0000000000000004,0.3571428571428572,0.35714285714285765,0.3571428571428577,0.3571428571428578,,,
14,1,0.9999999999999993,1.0,1.0000000000000002,0.222222222222222,0.2222222222222222,0.2222222222222222,0.22222222222222227,,,
14,2,0.9255319148936172,0.9999999999999998,1.0000000000000004,0.3191489361702131,0.3309352517985613,0.33093525179856126,0.3309352517985615,,,
14,3,0.9833333333333346,0.9999999999999998,1.0000000000000009,0.29999999999999993,0.30000000000000004,0.3,0.3000000000000003,,,
15,1,0.9444444444444451,0.9444444444444449,1.0624999999999996,0.3333333333333329,0.3529411764705881,0.33333333333333337,0.37499999999999967,,,
15,2,1.0,1.0000000000000002,1.0000000000000004,0.35087719298245623,0.3508771929824559,0.35087719298245595,0.35087719298245607,,,
15,3,0.9821428571428574,0.9999999999999993,1.0000000000000009,0.25000000000000067,0.25,0.24999999999999983,0.2500000000000002,,,
16,1,0.9999999999999993,1.0,0.9999999999999998,0.16666666666666674,0.1666666666666663,0.1666666666666663,0.16666666666666627,,,
16,2,0.9310344827586208,0.9807692307692313,1.0199999999999998,0.3448275862068966,0.3529411764705881,0.3461538461538462,0.35999999999999976,,,
16,3,0.9259259259259257,0.9571428571428572,1.0468749999999993,0.3703703703703707,0.38805970149253666,0.37142857142857083,0.40624999999999906,,,
17,1,0.9761904761904765,0.9761904761904764,1.0250000000000004,0.3333333333333329,0.34146341463414664,0.3333333333333337,0.3500000000000004,,,
17,2,0.9696969696969691,1.0,1.0000000000000007,0.3030303030303031,0.30476190476190457,0.30476190476190457,0.3047619047619048,,,
17,3,0.9900000000000003,0.9900000000000001,1.010204081632653,0.15333333333333254,0.15488215488215473,0.1533333333333332,0.15646258503401345,,,
18,1,0.9920634920634919,0.9999999999999998,1.0000000000000002,0.26984126984126966,0.26984126984126977,0.2698412698412697,0.2698412698412698,,,
18,2,0.9583333333333327,1.0000000000000002,1.0,0.2500000000000008,0.24999999999999978,0.24999999999999983,0.24999999999999978,,,
